11, 17, 1, 2, 2014-08-16
8, 6, 2, 2, 2014-08-16
13, 7, 0, 1, 2014-08-16
15, 2, 0, 1, 2014-08-16
19, 16, 2, 2, 2014-08-16
20, 18, 0, 1, 2014-08-16
1, 5, 2, 1, 2014-08-16
9, 14, 2, 1, 2014-08-17
12, 10, 0, 2, 2014-08-17
3, 4, 1, 3, 2014-08-18
2, 12, 0, 0, 2014-08-23
4, 8, 2, 0, 2014-08-23
5, 20, 1, 3, 2014-08-23
6, 1, 2, 2, 2014-08-23
7, 15, 1, 1, 2014-08-23
10, 9, 3, 1, 2014-08-23
14, 19, 0, 0, 2014-08-23
16, 11, 1, 1, 2014-08-23
17, 3, 1, 0, 2014-08-23
18, 13, 4, 0, 2014-08-23
2, 7, 2, 1, 2014-08-30
3, 11, 0, 0, 2014-08-30
6, 4, 3, 6, 2014-08-30
8, 1, 1, 1, 2014-08-30
10, 15, 0, 1, 2014-08-30
12, 5, 3, 3, 2014-08-30
13, 16, 1, 0, 2014-08-30
17, 19, 3, 0, 2014-08-30
18, 9, 0, 3, 2014-08-30
20, 14, 1, 3, 2014-08-30
1, 10, 2, 2, 2014-09-13
4, 17, 4, 2, 2014-09-13
5, 3, 0, 0, 2014-09-13
7, 20, 2, 2, 2014-09-13
9, 2, 0, 1, 2014-09-13
11, 13, 4, 0, 2014-09-13
14, 12, 4, 0, 2014-09-13
15, 8, 0, 1, 2014-09-13
16, 18, 2, 2, 2014-09-13
19, 6, 0, 2, 2014-09-13
2, 1, 0, 3, 2014-09-20
3, 16, 0, 0, 2014-09-20
6, 5, 2, 3, 2014-09-20
8, 11, 5, 3, 2014-09-20
10, 4, 1, 1, 2014-09-20
12, 7, 2, 2, 2014-09-20
13, 15, 2, 2, 2014-09-20
17, 14, 0, 1, 2014-09-20
18, 19, 0, 1, 2014-09-20
20, 9, 3, 1, 2014-09-20
1, 18, 1, 1, 2014-09-27
4, 2, 3, 0, 2014-09-27
5, 8, 2, 0, 2014-09-27
7, 10, 2, 4, 2014-09-27
9, 6, 1, 1, 2014-09-27
11, 20, 2, 1, 2014-09-27
14, 13, 2, 1, 2014-09-27
15, 12, 1, 0, 2014-09-27
16, 17, 0, 0, 2014-09-27
19, 3, 4, 0, 2014-09-27
2, 10, 0, 2, 2014-10-04
4, 1, 2, 0, 2014-10-04
7, 5, 2, 0, 2014-10-04
8, 3, 2, 2, 2014-10-04
9, 19, 2, 1, 2014-10-04
11, 6, 2, 1, 2014-10-04
16, 15, 3, 1, 2014-10-04
17, 12, 2, 2, 2014-10-04
18, 14, 1, 0, 2014-10-04
20, 13, 2, 0, 2014-10-04
1, 7, 2, 2, 2014-10-18
3, 20, 1, 3, 2014-10-18
5, 4, 1, 2, 2014-10-18
6, 2, 3, 0, 2014-10-18
10, 18, 4, 1, 2014-10-18
12, 8, 1, 0, 2014-10-18
13, 9, 2, 3, 2014-10-18
14, 16, 8, 0, 2014-10-18
