Torino, 1906, UEFA Europa League, Italian Serie A, Stadio Olimpico (Turin), Kamil Glik
Udinese, 1896, null, Italian Serie A, Stadio Friuli, Antonio Di Natale
Verona, 1903, null, Italian Serie A, Stadio Marcantonio Bentegodi, Rafael
Augsburg, 1907, null, German Bundesliga, SGL arena, Paul Verhaegh
Bayern Munich, 1900, UEFA Champions League, German Bundesliga, Allianz Arena, Philipp Lahm
Dortmund, 1909, UEFA Champions League, German Bundesliga, Signal Iduna Park, Mats Hummels
Frankfurt, 1899, null, German Bundesliga, Commerzbank-Arena, null
Freiburg, 1904, null, German Bundesliga, MAGE SOLAR Stadion, Julian Schuster
Hamburger, 1887, null, German Bundesliga, Imtech Arena, Rafael van der Vaart
Hannover 96, 1896, null, German Bundesliga, HDI-Arena, null
Hertha Berlin, 1892, null, German Bundesliga, Olympiastadion, Fabian Lustenberger
Hoffenheim, 1899, null, German Bundesliga, Rhein-Neckar Arena, Andreas Beck
Köln, 1948, null, German Bundesliga, RheinEnergieStadion, Mišo Brečko
Leverkusen, 1904, UEFA Champions League, German Bundesliga, BayArena, Simon Rolfes
Mainz, 1905, UEFA Europa League, German Bundesliga, Coface Arena, Nikolče Noveski
Mönchengladbach, 1900, UEFA Europa League, German Bundesliga, Stadion im Borussia-Park, Filip Daems
Paderborn, 1905, null, German Bundesliga, Benteler Arena, Uwe Hünemeier
Schalke 04, 1904, UEFA Champions League, German Bundesliga, Veltins-Arena, Benedikt Höwedes
Stuttgart, 1893, null, German Bundesliga, Mercedes-Benz Arena, Christian Gentner
Werder Bremen, 1899, null, German Bundesliga, Weserstadion, Clemens Fritz
Wolfsburg, 1945, UEFA Europa League, German Bundesliga, Volkswagen Arena, Diego Benaglio
Bastia, 1905, null, French Ligue 1, Stade Armand Cesari, Yannick Cahuzac
Bordeaux, 1881, null, French Ligue 1, Stade Chaban-Delmas, Ludovic Sané
Caen, 1913, null, French Ligue 1, Stade Michel d'Ornano, null
Evian, 2003, null, French Ligue 1, Parc des Sports, Olivier Sorlin
Guingamp, 1912, UEFA Europa League, French Ligue 1, Stade du Roudourou, Lionel Mathis
Lens, 1906, null, French Ligue 1, Stade de la Licorne, Jérôme Lemoigne
Lille, 1944, UEFA Champions League, French Ligue 1, Stade Pierre-Mauroy, Rio Mavuba
Lorient, 1926, null, French Ligue 1, Stade du Moustoir, null
Lyon, 1899, UEFA Europa League, French Ligue 1, Stade de Gerland, Maxime Gonalons
Marseille, 1899, null, French Ligue 1, Stade Vélodrome, Steve Mandanda
Metz, 1932, null, French Ligue 1, Stade Saint-Symphorien, null
Monaco, 1924, UEFA Champions League, French Ligue 1, Stade Louis II, Jérémy Toulalan
Montpellier, 1974, null, French Ligue 1, Stade de la Mosson, Vitorino Hilton
Nantes, 1943, null, French Ligue 1, Stade de la Beaujoire, Olivier Veigneau
Nice, 1904, null, French Ligue 1, Allianz Riviera, Didier Digard
Paris Saint-Germain, 1970, UEFA Champions League, French Ligue 1, Parc des Princes, Thiago Silva
Reims, 1931, null, French Ligue 1, Stade Auguste Delaune, Mickaël Tacalfred
Rennes, 1901, null, French Ligue 1, Route de Lorient, Romain Danzé
Saint-Étienne, 1933, UEFA Europa League, French Ligue 1, Stade Geoffroy-Guichard, Loïc Perrin
Toulouse, 1970, null, French Ligue 1, Stadium Municipal, Abel Aguilar
